company,companydesc,category,catdesc
http://www.wikidata.org/entity/Q1577587,Marathon Oil,http://www.wikidata.org/entity/Q862571,petroleum industry
http://www.wikidata.org/entity/Q1577587,Marathon Oil,http://www.wikidata.org/entity/Q862571,petroleum industry
http://www.wikidata.org/entity/Q1577587,Marathon Oil,http://www.wikidata.org/entity/Q862571,petroleum industry
http://www.wikidata.org/entity/Q1579222,Ultrapar,http://www.wikidata.org/entity/Q862571,petroleum industry
http://www.wikidata.org/entity/Q1579222,Ultrapar,http://www.wikidata.org/entity/Q862571,petroleum industry
http://www.wikidata.org/entity/Q1579222,Ultrapar,http://www.wikidata.org/entity/Q862571,petroleum industry
http://www.wikidata.org/entity/Q1593511,Heerema Marine Contractors,http://www.wikidata.org/entity/Q862571,petroleum industry
http://www.wikidata.org/entity/Q1593511,Heerema Marine Contractors,http://www.wikidata.org/entity/Q862571,petroleum industry
http://www.wikidata.org/entity/Q1616858,Tatneft,http://www.wikidata.org/entity/Q862571,petroleum industry
http://www.wikidata.org/entity/Q1616858,Tatneft,http://www.wikidata.org/entity/Q862571,petroleum industry
http://www.wikidata.org/entity/Q1616858,Tatneft,http://www.wikidata.org/entity/Q862571,petroleum industry
http://www.wikidata.org/entity/Q1619375,Hindustan Petroleum,http://www.wikidata.org/entity/Q862571,petroleum industry
http://www.wikidata.org/entity/Q1622293,SOCAR,http://www.wikidata.org/entity/Q862571,petroleum industry
http://www.wikidata.org/entity/Q865030,Burmah Oil,http://www.wikidata.org/entity/Q862571,petroleum industry
http://www.wikidata.org/entity/Q865030,Burmah Oil,http://www.wikidata.org/entity/Q862571,petroleum industry
http://www.wikidata.org/entity/Q867662,Esso,http://www.wikidata.org/entity/Q862571,petroleum industry
http://www.wikidata.org/entity/Q867662,Esso,http://www.wikidata.org/entity/Q862571,petroleum industry
http://www.wikidata.org/entity/Q867662,Esso,http://www.wikidata.org/entity/Q862571,petroleum industry
http://www.wikidata.org/entity/Q871308,Pemex,http://www.wikidata.org/entity/Q862571,petroleum industry
http://www.wikidata.org/entity/Q872297,Trans Austria Gas Pipeline,http://www.wikidata.org/entity/Q862571,petroleum industry
http://www.wikidata.org/entity/Q899395,Braskem,http://www.wikidata.org/entity/Q862571,petroleum industry
http://www.wikidata.org/entity/Q899395,Braskem,http://www.wikidata.org/entity/Q862571,petroleum industry
http://www.wikidata.org/entity/Q899395,Braskem,http://www.wikidata.org/entity/Q862571,petroleum industry
http://www.wikidata.org/entity/Q901440,LUKOIL Neftochim Burgas,http://www.wikidata.org/entity/Q862571,petroleum industry
http://www.wikidata.org/entity/Q915496,John Wood Group,http://www.wikidata.org/entity/Q862571,petroleum industry
http://www.wikidata.org/entity/Q915496,John Wood Group,http://www.wikidata.org/entity/Q862571,petroleum industry
http://www.wikidata.org/entity/Q915496,John Wood Group,http://www.wikidata.org/entity/Q862571,petroleum industry
http://www.wikidata.org/entity/Q917701,ALFA Group,http://www.wikidata.org/entity/Q862571,petroleum industry
http://www.wikidata.org/entity/Q917701,ALFA Group,http://www.wikidata.org/entity/Q862571,petroleum industry
http://www.wikidata.org/entity/Q930639,Williams Companies,http://www.wikidata.org/entity/Q862571,petroleum industry
http://www.wikidata.org/entity/Q930639,Williams Companies,http://www.wikidata.org/entity/Q862571,petroleum industry
http://www.wikidata.org/entity/Q931032,Kinder Morgan,http://www.wikidata.org/entity/Q862571,petroleum industry
http://www.wikidata.org/entity/Q931032,Kinder Morgan,http://www.wikidata.org/entity/Q862571,petroleum industry
http://www.wikidata.org/entity/Q931032,Kinder Morgan,http://www.wikidata.org/entity/Q862571,petroleum industry
http://www.wikidata.org/entity/Q937088,Trans-Alaska Pipeline System,http://www.wikidata.org/entity/Q862571,petroleum industry
http://www.wikidata.org/entity/Q951259,Murphy Oil,http://www.wikidata.org/entity/Q862571,petroleum industry
http://www.wikidata.org/entity/Q951259,Murphy Oil,http://www.wikidata.org/entity/Q862571,petroleum industry
http://www.wikidata.org/entity/Q951259,Murphy Oil,http://www.wikidata.org/entity/Q862571,petroleum industry
http://www.wikidata.org/entity/Q968529,Total Petrochemicals USA,http://www.wikidata.org/entity/Q862571,petroleum industry
http://www.wikidata.org/entity/Q971649,PKN Orlen,http://www.wikidata.org/entity/Q862571,petroleum industry
http://www.wikidata.org/entity/Q971649,PKN Orlen,http://www.wikidata.org/entity/Q862571,petroleum industry
http://www.wikidata.org/entity/Q971649,PKN Orlen,http://www.wikidata.org/entity/Q862571,petroleum industry
http://www.wikidata.org/entity/Q775060,Texaco,http://www.wikidata.org/entity/Q862571,petroleum industry
http://www.wikidata.org/entity/Q775060,Texaco,http://www.wikidata.org/entity/Q862571,petroleum industry
